city,road,distance,
Rainbow,Interstate 15,,
Temecula,Interstate 15,,
Murrieta,Interstate 15,,
Wildomar,Interstate 15,,
Corona,Interstate 15,,
Norco,Interstate 15,,
Ontario,Interstate 15,,
Rancho Cucamongo,Interstate 15,,
Fontana,Interstate 15,,
San Bernardino,Interstate 15,,
Barstow,Interstate 15,,
Baker,Interstate 15,,
Santa Monica,Interstate 10,,
Los Angeles,Interstate 10,,
Alhambra,Interstate 10,,
San Gabriel,Interstate 10,,
Rosemead,Interstate 10,,
El Monte,Interstate 10,,
Baldwin Park,Interstate 10,,
West Covina,Interstate 10,,
Covina,Interstate 10,,
San Dimas,Interstate 10,,
Pomona,Interstate 10,,
Claremont,Interstate 10,,
Montclair,Interstate 10,,
Upland,Interstate 10,,
Ontario,Interstate 10,,
Fontana,Interstate 10,,
Bloomington,Interstate 10,,
Colton,Interstate 10,,
San Bernardino,Interstate 10,,
Loma Linda,Interstate 10,,
Redlands,Interstate 10,,
Calimesa,Interstate 10,,
Beaumont,Interstate 10,,
Banning,Interstate 10,,
Cabazon,Interstate 10,,
White Water,Interstate 10,,
North Palm Springs,Interstate 10,,
Cathedral City,Interstate 10,,
Rancho Mirage,Interstate 10,,
Palm Dessert,Interstate 10,,
Indio,Interstate 10,,
Blythe,Interstate 10,,
Barstow,Interstate 40,,
Ludlow,Interstate 40,,
Needles,Interstate 40,,
Larkspur,Sir Francis Drake Blvd,,
Kentfield,Sir Francis Drake Blvd,,
Ross,Sir Francis Drake Blvd,,
San Anselmo,Sir Francis Drake Blvd,,
Fairfax,Sir Francis Drake Blvd,,
