id,name,marker,state,distance
Rc3ab4a3f-6ec4-43a0-b12e-1eaef8b2f905,U.S. Route 50,El Dorado Hills–Cameron Park line,CA,
R5ad0a3d8-723c-4b0d-b1f2-0506cda2ceb0,U.S. Route 50,Cameron Park,CA,
Rf3ffc15d-dba7-4073-9005-3e5cfa529c47,U.S. Route 50,Shingle Springs,CA,
R4a92ee64-6586-4677-b30e-79db04a139f2,U.S. Route 50,Diamond Springs,CA,
Rdc9f02c6-cd02-4fa8-97b8-49c580aa21d8,U.S. Route 50,Placerville,CA,
R4c9033f6-d266-4fc3-b4e0-caa6ef90055c,U.S. Route 50,Camino,CA,
Rbe2e0125-4c75-49cf-b5d0-475416cc5999,U.S. Route 50,Pollock Pines,CA,
R529b3a7a-38ca-40a4-a2a5-14bb6c319aa4,U.S. Route 50,Meyers,CA,
R75bb9938-d646-49c4-b526-e07b264a8808,U.S. Route 50,South Lake Tahoe,CA,
Rdf371085-bcba-4647-890a-1a1e3bc130b1,State Route 237,Mountain View,CA,
R196a5375-16a2-470c-a8e4-b03aba441438,State Route 237,Sunnyvale,CA,
R138f8b0b-03d7-494e-9366-fee5ec33beaa,State Route 237,Santa Clara,CA,
R53077738-a77f-44da-8efa-2f8fff635226,State Route 237,San Jose,CA,
Rb195e03a-5922-40d7-8d1b-26697bd3e5f5,State Route 237,Milpitas,CA,
R5e9cf181-42f7-4c04-9530-c2915e7e9be7,State Route 41,Morro Bay,CA,
Rb8a3d9c1-2c70-4a04-80fc-29b2010a7394,State Route 41,Atascadero,CA,
R61a96d45-da7f-4612-8426-26ca64171ab4,State Route 41,Shandon,CA,
R46580ffe-dd1b-4635-9181-e60120ed8e92,State Route 41,Cholame,CA,
R1e6ae9bb-cc14-4710-ad3e-e6e1b7d81745,State Route 41,Lemoore,CA,
Re95a8d03-6e0e-465f-bf8e-5abe4a820523,State Route 41,Fresno,CA,
R7d1fa342-97de-4b9d-9f73-c33f932ca812,State Route 41,Oakhurst,CA,
Ra40d03a7-0f68-4503-bd14-ac19851c1d10,State Route 12,Sebastopol,CA,
R899d7799-0d10-4860-af97-18990393d77b,State Route 12,Santa Rosa,CA,
Redfb76dd-0199-436d-acdd-1ba938e32e83,State Route 12,Schellville,CA,
R48fc0869-fa75-4ca0-9a6c-8519a6e6774b,State Route 12,Napa,CA,
R2df80320-0839-4ae0-b2bc-306e7bbafc74,State Route 12,Fairfield,CA,
R1fbbe8aa-c44a-419b-87e1-5641b85e2c36,State Route 12,Suisun City,CA,
R26fa13cb-f904-457f-8ecb-9c46bac5d0da,State Route 12,Rio Vista,CA,
R33bac13d-78f2-47be-8f45-b2610de9f54e,State Route 12,Lodi,CA,
Rbda341fc-628a-46f7-b1f0-ea1d687caac4,State Route 12,Lockeford,CA,
R4162a599-cb5f-44f1-8ec6-eb6b5fb5945f,State Route 12,Clements,CA,
R613e302e-7657-4484-b1bc-f77176ad1c93,State Route 12,Valley Springs,CA,
