id,name,marker,state,distance
R35589363-195f-4a04-aa65-c7be3521e7c3,Interstate 5,Redding,CA,
Ra7dfe954-4eb1-4db9-9bc6-667530e84c71,Interstate 5,Shasta Lake,CA,
R7d3c936f-992a-43d7-a738-34f7dd10d179,Interstate 5,Lakehead-Lakeshore,CA,
Ra92a116e-ee43-4086-9e05-42a6e5d2213c,Interstate 5,Dunsmuir,CA,
R57f7b9a7-7dbd-4ee5-948e-c65d8c212fd5,Interstate 5,Mount Shasta,CA,
Rcc8edf9d-9721-405e-9e06-e0bab1968c49,Interstate 5,Weed,CA,
Red609562-ee56-4fd2-8577-c6f8d3250d87,Interstate 5,Grenada,CA,
Ra1241983-ec57-4b0a-a42e-5bac0760c8a8,Interstate 5,Yreka,CA,
Rfee61bc6-1a13-4175-baae-98a131b5b244,Interstate 5,Hornbrook,CA,
Rf723af04-b09b-45db-a411-3da2fb62a6ce,Interstate 80,San Francisco,CA,
R78e31ca3-d6ea-4191-800b-2843e686b137,Interstate 80,Emeryville,CA,
Re0e4e605-78cf-4fef-8fdb-d54838213b6c,Interstate 80,Berkeley,CA,
R0ee1c398-d23e-48ba-8e6d-6fecfdfad443,Interstate 80,Richmond,CA,
Rbbfe01bb-9689-4e69-b0ea-acae5b961f81,Interstate 80,San Pablo,CA,
R2f5b6bc0-d1c9-4b14-8747-067b5b4186eb,Interstate 80,El Sobrante,CA,
Rdef8a157-cb2b-4e7f-86ff-ca69f65efe4a,Interstate 80,Pinole,CA,
R2e7a7caa-cb2d-4a8c-ba26-702bbbc8d5d8,Interstate 80,Hercules,CA,
R7bbfcbdf-33f8-4224-b358-fb09d3fe04e4,Interstate 80,Rodeo,CA,
R403c3dfe-5c98-4a0c-8c6a-8d8ac032e583,Interstate 80,Crockett,CA,
Rac15a724-ad2c-4007-8531-6d5a8cb92f5d,Interstate 80,Vallejo,CA,
Rda33aa7f-1f07-4f76-8aaa-446aa8463fab,Interstate 80,Fairfield,CA,
Rbbfecdf5-2e38-4783-ad21-eab4611a3f19,Interstate 80,Vacaville,CA,
R3807ca54-af2a-422b-8f42-c9ac42186b2a,Interstate 80,Vacaville,CA,
Re14c12c4-2b99-4b19-a243-1c7707dea09a,Interstate 80,Dixon,CA,
Rdce708c2-fc8f-4e5f-a1d5-c4412dfa92f7,Interstate 80,Davis,CA,
R3daba82b-b405-4aaa-b9db-2b8c0a0e61fc,Interstate 80,West Sacramento,CA,
R26100d21-d06d-44de-9f2c-70f42c7df7eb,Interstate 80,Sacramento,CA,
R179eb7de-a922-4983-b383-1f814c7513ee,Interstate 80,Sacramento,CA,
Ra4ebf12e-38da-41f7-bb58-dbf87525d243,Interstate 80,North Highlands,CA,
R5bda2d6a-1ea4-476c-bd33-1ea21a56725e,Interstate 80,Sacramento,CA,
R0f52eeb4-9efe-4450-b79c-ad68832a912d,Interstate 80,Citrus Heights,CA,
R8bdf4970-0902-433a-ae0b-c093280b53d7,Interstate 80,Roseville,CA,
Re76bc592-8ff1-41d1-87b6-39c4308f633e,Interstate 80,Rocklin,CA,
R5b2d8030-59b0-430b-a65c-f37a75d55cf6,Interstate 80,Loomis,CA,
Rafaa8726-e6e5-4208-a5dd-f67d82afaf6c,Interstate 80,Newcastle,CA,
Rcfeab08b-b275-4dd8-a74b-f54d18272df4,Interstate 80,Auburn,CA,
R059ccb8b-2a72-47cb-ad69-ffef49a0947a,Interstate 80,Applegate,CA,
R4bf142e4-108f-44c4-b3ab-4b00fe4adae9,Interstate 80,Colfax,CA,
R4c81ca3e-f4e8-45f9-9350-ee5d8a37bd83,Interstate 80,Gold Run,CA,
Rdee749ea-534d-4195-8385-1e5862b7aa5d,Interstate 80,Dutch Flat,CA,
Rc72f5106-d0f7-4a2c-9c4f-b29397ed6aec,Interstate 80,Alta,CA,
R27e23c8b-7e84-4d68-b2b1-6fb14563afd3,Interstate 80,Soda Springs,CA,
Rc32528c9-7d1f-43e6-a0ab-804a5fee8796,Interstate 80,Kingvale,CA,
R68cbbe2d-ba22-4d68-835d-0442a67a947d,Interstate 80,Soda Springs,CA,
R7e1db05f-7c41-4fb6-87da-5f876105b6a7,Interstate 80,Truckee,CA,
R9c75afb0-0c04-4c7b-ae9c-81506c015224,Interstate 80,Floriston,CA,
eef782e6-f28f-43d7-b1b6-4eb19a7525e4,Highway 101,Thousand Oaks,CA
92fe3e5c-277f-4e1d-a622-baee55ebe29e,Highway 101,Santa Maria,CA
238ad746-959f-4990-b8f0-dcfede3cb927,Highway 101,San Luis Obispo,CA
290f39d1-807b-46fb-8b92-94ed28f3c0b3,Highway 101,Salinas,CA
38e32012-aec7-443c-99a7-e1d9ac3a4533,Highway 101,Gilroy,CA
3424653c-42a8-4aaa-9979-e698e7acd85d,Highway 101,San Jose,CA
d954e120-03db-4f09-850f-70b7fa7c7cc0,Highway 101,Mountain View,CA
c1527573-3ab1-4154-9fd1-aa6faef9fdaa,Highway 101,San Mateo,CA
5de9ef2b-ccc9-4012-ba35-14c6c5203ed7,Highway 101,Daly City,CA
7ffdc7d1-43ec-4d2a-938d-79a75d6aa17b,Highway 101,San Francisco,CA
726af533-a195-479e-a16b-938df941fdf0,Highway 101,Corte Madera,CA
03b321c0-7f8f-4471-ba41-9f8cd1137ec7,Highway 101,Larkspur,CA
0033c783-00d7-42e1-8397-e986ee26c96d,Highway 101,San Rafael,CA
b4122bf0-ab20-45a6-967b-88221420613e,Highway 101,Novato,CA
abfb05ff-db36-4309-b30e-6232eca1d5c1,Highway 101,Petaluma,CA
27519f8f-a45e-4b37-a917-0700315346e2,Highway 101,Santa Rosa,CA
806c4834-5b6a-40cc-b4de-e971a4d6d779,Highway 101,Ukiah,CA
300c1ea4-8a2e-4171-8512-df27c3a452c0,Highway 101,Fortuna,CA
46c2fe7b-3e07-4c0c-be5a-f190bedd3626,Highway 101,Eureka,CA
bf568d38-ded6-42a2-a6cf-d97c2c9adbe0,Highway 101,Crecente,CA
f5398ba3-3dff-4ca2-a743-557511ffb60b,Interstate 580,Tracy,CA
8383c33f-2e80-4cbf-83fb-82d992840ed5,Interstate 580,Vernalis,CA
d676b933-4da4-4ec1-acb3-7e8bfa2c954c,Interstate 580,Livermore,CA
3455b625-9522-4c99-95ab-7b03b42acfbe,Interstate 580,Dublin,CA
318598b3-f3cd-4a16-ac50-6d96022b4d82,Interstate 580,Pleasanton,CA
01e7376a-e3d5-46be-b557-1669b05567e5,Interstate 580,Castro Valley,CA
a8ae3f58-ae72-4a13-b9d5-cb4ceff8570c,Interstate 580,San Leandro,CA
41f87241-8352-48b6-bd16-64ec25ac428f,Interstate 580,Oakland,CA
5a303632-ef00-4550-8ac0-654b39d04525,Interstate 580,Emeryville,CA
e7823197-8e6f-4034-85e3-47dc9d94ed88,Interstate 580,Berkeley,CA
815b0ecc-50ab-4125-ab22-34dc9a92dd1f,Interstate 580,Albany,CA
